Date,LINK
7/5/19,0.544723988
8/5/19,0.591536999
9/5/19,0.639849007
10/5/19,0.671459973
11/5/19,0.678822994
12/5/19,0.657989979
13/5/19,0.646696985
14/5/19,0.82308197
15/5/19,0.845574021
16/5/19,0.92612499
17/5/19,0.887731016
18/5/19,0.934153974
19/5/19,0.994350016
20/5/19,1.12893796
21/5/19,1.18592298
22/5/19,1.220044017
23/5/19,1.344990969
24/5/19,1.336959958
25/5/19,1.129312038
26/5/19,1.087064981
27/5/19,1.211011052
28/5/19,1.275388956
29/5/19,1.182788014
30/5/19,1.024750948
31/5/19,1.021520019
1/6/19,0.965131998
2/6/19,1.012434006
3/6/19,0.910969019
4/6/19,0.883249998
5/6/19,1.077118039
6/6/19,1.119632959
7/6/19,1.17761302
8/6/19,1.152619958
9/6/19,1.073253036
10/6/19,1.191715956
11/6/19,1.138304949
12/6/19,1.142758965
13/6/19,1.847919941
14/6/19,1.676558018
15/6/19,1.721302986
16/6/19,1.673431993
17/6/19,1.971634984
18/6/19,1.818536997
19/6/19,1.838441014
20/6/19,1.765550971
21/6/19,1.702870965
22/6/19,1.838552952
23/6/19,1.801375031
24/6/19,1.860334039
25/6/19,2.189712048
26/6/19,2.261559963
27/6/19,2.26760602
28/6/19,2.961826086
29/6/19,3.703151941
30/6/19,3.446888924
1/7/19,3.591973066
2/7/19,3.645436049
3/7/19,3.533164024
4/7/19,3.484890938
5/7/19,3.622153044
6/7/19,3.476880074
7/7/19,3.314356089
8/7/19,3.335757971
9/7/19,3.112948895
10/7/19,3.118319035
11/7/19,2.827140093
12/7/19,3.173851013
13/7/19,3.17048502
14/7/19,2.78737998
15/7/19,2.728492022
16/7/19,2.197649956
17/7/19,2.379703999
18/7/19,2.679090977
19/7/19,2.608850956
20/7/19,2.644640923
21/7/19,2.550354958
22/7/19,2.425729036
23/7/19,2.370990992
24/7/19,2.405395985
25/7/19,2.384253025
26/7/19,2.403562069
27/7/19,2.258480072
28/7/19,2.217729092
29/7/19,2.140304089
30/7/19,2.089138985
31/7/19,2.196837902
1/8/19,2.18125701
2/8/19,2.399795055
3/8/19,2.425478935
4/8/19,2.497683048
5/8/19,2.484375
6/8/19,2.460669994
7/8/19,2.391855001
8/8/19,2.289083958
9/8/19,2.179155111
10/8/19,2.322568893
11/8/19,2.396836042
12/8/19,2.379977942
13/8/19,2.413079977
14/8/19,2.271147966
