Date,Cryptocurrency,Crackdown,Crypto,Blockchain,Digital currency,Crypto Mining,DeFi,Altcoins,Smart contracts,Stablecoin,Bittrex,Coinbase,Vitalik,Satoshi,Cryptocurrency regulation,Gary Gensler,Tesla,Elon Musk,Whales,Decentralised finance,Distributed ledger,Halving,ICO,China Digital Currency
14/12/17,66,3,13,81,61,33,22,52,5,0,93,15,6,83,6,0,8,2,24,0,60,1,41,0
15/12/17,58,3,12,77,58,34,21,47,8,3,78,13,5,73,6,0,9,2,19,0,50,0,42,0
16/12/17,52,1,12,62,65,28,18,57,8,1,70,12,6,77,3,0,8,2,18,0,9,0,35,0
17/12/17,57,1,14,68,45,34,23,73,6,1,89,12,4,92,0,0,8,2,20,0,16,0,38,0
18/12/17,57,4,13,79,52,29,31,57,9,0,76,12,6,82,3,0,8,2,21,0,22,1,44,0
19/12/17,68,3,16,95,48,37,20,69,13,0,89,14,6,92,9,0,10,2,19,0,13,0,47,0
20/12/17,67,2,15,83,59,29,23,77,13,0,95,24,4,85,0,0,9,2,16,0,52,1,46,0
21/12/17,63,1,15,95,49,36,17,56,6,1,94,16,7,80,0,0,9,2,16,0,29,1,48,0
22/12/17,94,3,20,88,66,31,20,57,9,0,81,19,8,67,7,0,9,3,18,0,33,0,34,0
23/12/17,60,2,14,62,53,30,19,69,9,1,80,11,5,79,3,0,11,10,17,0,34,1,41,0
24/12/17,46,2,12,59,34,15,15,40,6,0,67,9,5,81,3,0,10,5,16,0,0,0,36,0
25/12/17,44,1,12,54,28,21,18,53,7,0,77,8,7,80,4,0,10,4,17,0,0,0,43,0
26/12/17,46,3,11,62,39,29,21,45,4,1,60,8,5,70,0,0,9,3,21,0,34,0,40,23
27/12/17,50,2,12,64,48,32,18,47,9,0,65,9,3,62,6,0,10,3,19,0,59,0,43,8
28/12/17,48,2,12,61,36,29,14,41,10,1,59,8,6,70,12,0,9,3,19,0,15,0,46,0
29/12/17,53,1,14,62,48,30,15,46,3,0,76,10,8,64,13,0,9,2,24,0,14,1,47,0
30/12/17,62,2,14,53,46,16,16,59,10,1,76,11,11,59,17,0,10,2,20,0,17,1,40,0
31/12/17,50,3,13,40,41,18,14,51,3,0,58,8,5,69,3,0,8,3,22,0,0,0,35,0
1/1/18,45,2,12,42,40,25,12,41,4,0,62,7,4,54,0,0,8,3,18,0,44,0,38,0
2/1/18,62,3,16,62,34,38,16,73,12,0,72,11,9,63,9,0,9,2,21,0,30,0,56,0
3/1/18,76,2,19,74,44,30,20,67,12,0,82,14,6,54,0,0,10,3,20,0,22,0,62,0
