Date,ADA,BCH,BNB,BTC,DOGE,ETH,LINK,LTC,XMR,XRP
27/12/17,0.414175987,2889.52002,10.10700035,15838.5,0.008872,762.84198,0.505500972,272.1740112,421.848999,1.399639964
28/12/17,0.407700986,2566.639893,9.321410179,14606.5,0.008486,737.0230103,0.506696999,249.9299927,378.9039917,1.430879951
29/12/17,0.529299021,2779.949951,8.807600021,14656.2002,0.009391,753.59198,0.486348003,245.5019989,377.3659973,2.214600086
30/12/17,0.639243007,2392.409912,7.841010094,12952.2002,0.00786,717.257019,0.586127996,218.9629974,330.8039856,2.159019947
31/12/17,0.719694972,2533.01001,8.635580063,14156.40039,0.008972,756.7329712,0.60155201,232.095993,349.026001,2.300570011
1/1/18,0.728657007,2432.540039,8.414609909,13657.2002,0.008909,772.6409912,0.733563006,229.0330048,358.9899902,2.391030073
2/1/18,0.782586992,2711,8.837770462,14982.09961,0.009145,884.4439697,0.673712015,255.6840057,383.4169922,2.480900049
3/1/18,1.079660058,2608.689941,9.535880089,15201,0.00932,962.7199707,0.681167006,245.3679962,412.0629883,3.105370045
4/1/18,1.114120007,2430.179932,9.213990211,15599.2002,0.009644,980.9219971,0.984368026,241.3699951,403.0480042,3.196630001
5/1/18,0.999558985,2584.47998,14.91720009,17429.5,0.012167,997.7199707,0.907486022,249.2709961,384.9360046,3.048710108
6/1/18,1.027150035,2786.649902,22.75979996,17527,0.014863,1041.680054,1.063570023,296.45401,452.7709961,3.09397006
7/1/18,1.008520007,2786.879883,18.65679932,16477.59961,0.017088,1153.170044,1.27046001,288.4509888,459.3309937,3.377810001
8/1/18,0.899002016,2421.469971,18.2609005,15170.09961,0.015045,1148.530029,1.377300024,255.7630005,405.0740051,2.456209898
9/1/18,0.814742982,2391.560059,17.41180038,14595.40039,0.01342,1299.73999,1.228279948,247.0370026,413.3340149,2.101779938
10/1/18,0.79312098,2895.379883,17.39080048,14973.2998,0.013102,1255.819946,1.188709974,250.5180054,407.7409973,1.974920034
11/1/18,0.688412011,2462.610107,21.04269981,13405.7998,0.011469,1154.930054,1.010329962,229.3659973,355.5920105,1.950799942
12/1/18,0.897508025,2620.98999,22.31629944,13980.59961,0.013056,1273.199951,1.051560044,236.8560028,394.7829895,2.043230057
13/1/18,0.884123981,2685.290039,22.17440033,14360.2002,0.013023,1396.420044,1.101230025,259.1929932,420.0539856,2.021349907
14/1/18,0.802262008,2553.320068,20.77729988,13772,0.011684,1366.77002,1.010840058,238.6750031,399.5190125,1.861189961
15/1/18,0.778586984,2401.540039,19.56469917,13819.7998,0.009857,1291.920044,0.877687991,232.7740021,414.5700073,1.676730037
16/1/18,0.626492977,1772.069946,13.89190006,11490.5,0.006822,1053.689941,0.756452978,188.3309937,320.0369873,1.179239988
17/1/18,0.629101992,1748.050049,14.20320034,11188.59961,0.007648,1014.25,0.698634028,186.5160065,319.1860046,1.306339979
18/1/18,0.659843028,1756.75,14.28040028,11474.90039,0.007969,1036.280029,0.744229972,192.8370056,316.4679871,1.596580029
19/1/18,0.650497973,1769.619995,14.9406004,11607.40039,0.007871,1039.099976,0.812905014,192.9640045,364.6210022,1.552049994
20/1/18,0.707509995,2032.119995,16.19029999,12899.2002,0.008448,1155.150024,1.219300032,211.0180054,383.7890015,1.578619957
21/1/18,0.613162994,1776.640015,14.06830025,11600.09961,0.007131,1049.579956,0.887827992,190.4210052,345.07901,1.38004005
22/1/18,0.570457995,1621.920044,13.0145998,10931.40039,0.006734,1003.26001,0.802857995,180.0079956,315.8980103,1.357349992
23/1/18,0.563069999,1621.459961,13.09350014,10868.40039,0.006673,986.2290039,0.801917017,177.8070068,308.4609985,1.337069988
24/1/18,0.622207999,1639.130005,13.62870026,11359.40039,0.007083,1058.780029,0.792863011,179.9869995,317.3999939,1.357149959
25/1/18,0.637494981,1642.119995,13.22840023,11259.40039,0.007667,1056.030029,0.760437012,180.2720032,317.1029968,1.312229991
26/1/18,0.623381972,1603.900024,13.21819973,11171.40039,0.007237,1055.170044,0.709852993,176.7339935,323.6849976,1.217270017
27/1/18,0.616832972,1628.630005,13.25300026,11440.7002,0.007373,1107.069946,0.780674994,180.8860016,321.355011,1.219110012
28/1/18,0.670286,1746.25,13.54020023,11786.2998,0.007465,1246.01001,0.760600984,193.8650055,332.1669922,1.399600029
29/1/18,0.623203993,1657.140015,12.76449966,11296.40039,0.006967,1182.359985,0.697712004,181.6640015,316.6279907,1.32396996
30/1/18,0.531912982,1470.550049,11.2507,10106.2998,0.006024,1071.130005,0.596777976,165.276001,274.0159912,1.138560057
31/1/18,0.519315004,1486.890015,11.14500046,10221.09961,0.00601,1118.310059,0.620145977,163.3509979,272.8890076,1.162389994
1/2/18,0.421671987,1274.349976,9.515839577,9170.540039,0.005029,1036.790039,0.520346999,142.2969971,240.9649963,0.962530017
2/2/18,0.390534014,1191.140015,9.652290344,8830.75,0.004475,915.7849731,0.49457401,131.3789978,235.6300049,0.884783983
3/2/18,0.438836008,1272.5,9.749679565,9174.910156,0.005164,964.0189819,0.518558025,160.25,251.5879974,0.924043
4/2/18,0.379303008,1165.380005,8.458640099,8277.009766,0.004399,834.6820068,0.434370995,148.0249939,221.0460052,0.815702975
5/2/18,0.327371001,887.4130249,6.705029964,6955.27002,0.003533,697.9509888,0.341506004,125.3300018,179.4869995,0.691798985
6/2/18,0.369753003,974.5250244,8.288849831,7754,0.004361,793.1220093,0.425247997,142.9909973,212.2890015,0.776392996
7/2/18,0.340447009,957.960022,8.095009804,7621.299805,0.004297,757.0679932,0.376771003,138.2030029,207.2749939,0.723895013
8/2/18,0.356584013,1284.560059,8.595499992,8265.589844,0.004566,817.8070068,0.411080003,149.4660034,247.223999,0.805262983
9/2/18,0.39160201,1312.109985,9.730460167,8736.980469,0.005,883.8649902,0.435193986,163.9499969,260.4330139,0.954428017
10/2/18,0.405871987,1257.310059,9.255970001,8621.900391,0.004989,860.414978,0.419874012,155.5930023,250.0299988,1.070739985
11/2/18,0.369769007,1217.640015,8.704910278,8129.970215,0.004956,814.6599731,0.416157007,148.9900055,229.4850006,1.004160047
12/2/18,0.384315014,1283.910034,9.322469711,8926.570313,0.005472,868.7069702,0.490281999,161.5659943,247.5679932,1.081009984
13/2/18,0.373313993,1231.97998,8.986780167,8598.30957,0.005638,845.2579956,0.570758998,159.5540009,234.6889954,1.02741003
14/2/18,0.396907985,1362.27002,10.40060043,9494.629883,0.00673,923.5609741,0.568252981,213.3589935,276.6619873,1.14162004
15/2/18,0.409368008,1375.810059,10.93109989,10166.40039,0.007347,936.9760132,0.565250993,225.4259949,303.2510071,1.146860003
16/2/18,0.403809994,1552.199951,11.20160007,10233.90039,0.007034,944.210022,0.639627993,230.1239929,296.4769897,1.138030052
17/2/18,0.419883013,1551.390015,11.68929958,11112.7002,0.007049,974.1149902,0.67248702,229.4649963,325.6650085,1.204980016
18/2/18,0.385618001,1487.459961,10.70240021,10551.7998,0.006424,923.9210205,0.76176101,215.7359924,300.1180115,1.120460033
