Date,XMR
25/8/18,92.54229736
26/8/18,95.30210114
27/8/18,104.5289993
28/8/18,107.5230026
29/8/18,103.5540009
30/8/18,102.814003
31/8/18,116.6579971
1/9/18,120.9729996
2/9/18,120.4960022
3/9/18,135.5549927
4/9/18,137.951004
5/9/18,115.064003
6/9/18,117.4899979
7/9/18,111.8799973
8/9/18,104.3300018
9/9/18,106.2160034
10/9/18,105.6439972
11/9/18,105.6449966
12/9/18,104.322998
13/9/18,112.0350037
14/9/18,116.9670029
15/9/18,119.3960037
16/9/18,117.038002
17/9/18,107.1930008
18/9/18,112.447998
19/9/18,109.5139999
20/9/18,116.2779999
21/9/18,123.737999
22/9/18,122.2149963
23/9/18,122.4960022
24/9/18,115.4800034
25/9/18,116.4020004
26/9/18,115.5930023
27/9/18,119.2549973
28/9/18,117.0550003
29/9/18,114.8649979
30/9/18,116.2559967
1/10/18,114.5210037
2/10/18,116.8280029
3/10/18,114.6849976
4/10/18,114.5339966
5/10/18,114.8769989
6/10/18,115.0699997
7/10/18,113.7170029
8/10/18,114.2750015
9/10/18,113.6740036
10/10/18,113.4589996
11/10/18,100.3840027
12/10/18,100.7089996
13/10/18,102.137001
14/10/18,100.9069977
15/10/18,107.1090012
16/10/18,107.3949966
17/10/18,105.3619995
18/10/18,102.913002
19/10/18,103.7229996
20/10/18,103.7789993
21/10/18,105.0999985
22/10/18,105.4599991
23/10/18,108.4420013
24/10/18,106.9499969
25/10/18,106.3219986
26/10/18,105.0179977
27/10/18,103.8990021
28/10/18,104.9759979
29/10/18,101.487999
30/10/18,102.5530014
31/10/18,103.8339996
1/11/18,103.8809967
2/11/18,105.7799988
3/11/18,106.8669968
4/11/18,111.7959976
5/11/18,111.3450012
6/11/18,112.8939972
7/11/18,111.5130005
8/11/18,108.427002
9/11/18,106.8929977
10/11/18,105.2450027
11/11/18,106.3759995
12/11/18,105.1389999
13/11/18,105.112999
14/11/18,90.7582016
15/11/18,88.67250061
16/11/18,87.05529785
17/11/18,88.00330353
18/11/18,89.39299774
19/11/18,72.48999786
20/11/18,66.48600006
21/11/18,68.94280243
22/11/18,65.85810089
23/11/18,66.62689972
24/11/18,58.35820007
25/11/18,58.05329895
26/11/18,53.21699905
27/11/18,57.13159943
28/11/18,63.52410126
29/11/18,61.19553757
30/11/18,57.7929039
1/12/18,59.64754868
2/12/18,59.10102081
3/12/18,54.83724594
4/12/18,56.97896194
5/12/18,51.66662598
6/12/18,46.53453064
7/12/18,46.46202087
8/12/18,45.57361603
9/12/18,47.74671936
10/12/18,44.60415268
11/12/18,42.73680115
12/12/18,43.93611908
13/12/18,40.96224594
14/12/18,39.28267288
15/12/18,38.85170364
16/12/18,39.33948517
17/12/18,43.82275009
18/12/18,46.58249283
19/12/18,46.31285477
20/12/18,55.07540131
21/12/18,51.81959534
22/12/18,51.72505188
23/12/18,52.75577927
24/12/18,56.33517838
25/12/18,50.59265518
26/12/18,49.37469101
27/12/18,44.46669388
28/12/18,49.77024841
29/12/18,48.11211777
30/12/18,48.3643074
31/12/18,46.22816849
1/1/19,48.36749649
2/1/19,52.25244904
3/1/19,49.81535721
4/1/19,50.63087463
5/1/19,49.93181229
6/1/19,54.87658691
7/1/19,52.82689667
8/1/19,53.1554451
9/1/19,52.71385574
10/1/19,45.49613571
11/1/19,45.80475235
12/1/19,45.00778961
13/1/19,43.11040115
14/1/19,45.91458511
15/1/19,44.95061111
16/1/19,46.18143845
17/1/19,45.65363312
18/1/19,45.1258316
19/1/19,46.21959305
20/1/19,44.11306381
21/1/19,44.57730484
22/1/19,45.92059708
23/1/19,44.88050079
24/1/19,45.78304672
25/1/19,46.88933563
26/1/19,45.73064041
27/1/19,46.57541656
28/1/19,43.5892334
29/1/19,43.7101059
30/1/19,44.26460648
31/1/19,43.66409683
1/2/19,43.72286606
2/2/19,43.38762283
3/2/19,42.90383911
4/2/19,42.79665375
5/2/19,43.33612442
6/2/19,43.14356232
7/2/19,43.2121048
8/2/19,48.116745
9/2/19,48.55569458
10/2/19,49.82767105
11/2/19,48.27090073
12/2/19,49.05204391
13/2/19,49.33005142
14/2/19,46.86213303
15/2/19,47.4382515
16/2/19,46.91598511
17/2/19,48.06875229
18/2/19,51.69323349
19/2/19,52.32735062
20/2/19,52.11064911
21/2/19,50.43602753
22/2/19,52.64224625
23/2/19,53.81316376
24/2/19,49.01046753
25/2/19,50.07845688
26/2/19,49.4053421
27/2/19,49.98809433
28/2/19,49.12126923
1/3/19,49.56217194
2/3/19,49.98366928
3/3/19,50.10773849
4/3/19,48.49328613
5/3/19,50.54852295
6/3/19,50.8486557
7/3/19,51.02837753
8/3/19,50.01823044
9/3/19,50.78741837
10/3/19,50.94821167
11/3/19,50.23559952
12/3/19,51.47206497
13/3/19,52.04031754
14/3/19,52.35450745
15/3/19,53.60699081
16/3/19,54.63551331
17/3/19,53.53560638
18/3/19,53.48814011
19/3/19,54.75062943
20/3/19,55.88074112
21/3/19,53.85298538
22/3/19,53.92311859
23/3/19,53.84037399
24/3/19,53.7446785
25/3/19,52.33984756
26/3/19,52.94049835
27/3/19,54.72978973
28/3/19,53.89841461
29/3/19,53.48281479
30/3/19,53.4501915
31/3/19,55.88533783
1/4/19,59.97315979
2/4/19,69.05905151
3/4/19,65.70659637
4/4/19,63.92605209
5/4/19,69.16213989
6/4/19,68.09186554
7/4/19,69.80700684
8/4/19,71.09341431
9/4/19,68.37260437
10/4/19,70.97735596
11/4/19,66.36711884
12/4/19,66.10135651
13/4/19,65.32377625
14/4/19,66.58150482
15/4/19,64.35227966
16/4/19,68.90307617
17/4/19,67.4773941
18/4/19,69.16213989
19/4/19,68.56694031
20/4/19,69.5245285
21/4/19,68.71850586
22/4/19,68.59263611
23/4/19,69.33094788
24/4/19,67.67943573
25/4/19,61.30138779
26/4/19,62.08967209
27/4/19,62.55040359
28/4/19,61.22995377
29/4/19,60.54192352
30/4/19,62.09594727
1/5/19,64.95965576
2/5/19,64.40686798
3/5/19,67.02481079
4/5/19,67.79167175
5/5/19,66.08014679
6/5/19,66.54827881
7/5/19,65.54452515
8/5/19,67.3295517
9/5/19,64.68659973
10/5/19,68.07289124
11/5/19,77.58705902
12/5/19,74.20786285
13/5/19,79.15727234
14/5/19,83.07465363
15/5/19,94.08371735
16/5/19,87.01094818
17/5/19,82.00883484
18/5/19,79.59186554
19/5/19,90.62164307
20/5/19,87.60836029
21/5/19,89.00347137
22/5/19,83.50518799
23/5/19,84.6231308
24/5/19,85.57782745
25/5/19,86.99329376
26/5/19,91.99518585
27/5/19,97.96601868
28/5/19,96.06098175
29/5/19,93.98911285
30/5/19,91.96477509
31/5/19,93.21670532
1/6/19,92.96917725
2/6/19,94.94489288
3/6/19,89.70960236
4/6/19,83.34358978
5/6/19,84.98567963
6/6/19,86.93584442
7/6/19,88.2670517
8/6/19,87.54402924
9/6/19,83.78411865
10/6/19,86.91879272
11/6/19,86.71500397
12/6/19,90.13451385
13/6/19,89.26074219
14/6/19,90.50655365
15/6/19,94.69276428
16/6/19,95.86319733
