Date,Price
20/3/19,4087.476318
21/3/19,4029.326904
22/3/19,4023.968262
23/3/19,4035.826416
24/3/19,4022.168213
25/3/19,3963.070557
26/3/19,3985.080811
27/3/19,4087.066162
28/3/19,4069.107178
29/3/19,4098.374512
30/3/19,4106.660156
31/3/19,4105.404297
1/4/19,4158.183105
2/4/19,4879.87793
3/4/19,4973.021973
4/4/19,4922.798828
5/4/19,5036.681152
6/4/19,5059.817383
7/4/19,5198.896973
8/4/19,5289.770996
9/4/19,5204.958496
10/4/19,5324.551758
11/4/19,5064.487793
12/4/19,5089.539063
13/4/19,5096.586426
14/4/19,5167.722168
15/4/19,5067.108398
16/4/19,5235.55957
17/4/19,5251.937988
18/4/19,5298.385742
19/4/19,5303.8125
20/4/19,5337.88623
21/4/19,5314.53125
22/4/19,5399.365234
23/4/19,5572.362305
24/4/19,5464.866699
25/4/19,5210.515625
26/4/19,5279.348145
27/4/19,5268.291016
28/4/19,5285.13916
29/4/19,5247.352539
30/4/19,5350.726563
1/5/19,5402.697266
2/5/19,5505.283691
3/5/19,5768.289551
4/5/19,5831.16748
5/5/19,5795.708496
6/5/19,5746.807129
7/5/19,5829.501465
8/5/19,5982.45752
9/5/19,6174.528809
10/5/19,6378.849121
11/5/19,7204.771484
12/5/19,6972.371582
13/5/19,7814.915039
14/5/19,7994.416016
15/5/19,8205.167969
16/5/19,7884.90918
17/5/19,7343.895508
18/5/19,7271.208008
19/5/19,8197.689453
20/5/19,7978.309082
21/5/19,7963.327637
22/5/19,7680.066406
23/5/19,7881.84668
24/5/19,7987.371582
25/5/19,8052.543945
26/5/19,8673.21582
27/5/19,8805.77832
28/5/19,8719.961914
29/5/19,8659.487305
30/5/19,8319.472656
31/5/19,8574.501953
1/6/19,8564.016602
2/6/19,8742.958008
3/6/19,8208.995117
4/6/19,7707.770996
5/6/19,7824.231445
6/6/19,7822.023438
7/6/19,8043.951172
8/6/19,7954.12793
9/6/19,7688.077148
10/6/19,8000.32959
11/6/19,7927.714355
12/6/19,8145.857422
13/6/19,8230.923828
14/6/19,8693.833008
15/6/19,8838.375
16/6/19,8994.488281
17/6/19,9320.352539
18/6/19,9081.762695
19/6/19,9273.521484
20/6/19,9527.160156
21/6/19,10144.55664
22/6/19,10701.69141
23/6/19,10855.37109
24/6/19,11011.10254
25/6/19,11790.91699
26/6/19,13016.23145
27/6/19,11182.80664
28/6/19,12407.33203
29/6/19,11959.37109
30/6/19,10817.15527
1/7/19,10583.13477
2/7/19,10801.67773
3/7/19,11961.26953
4/7/19,11215.4375
5/7/19,10978.45996
6/7/19,11208.55078
7/7/19,11450.84668
8/7/19,12285.95801
9/7/19,12573.8125
10/7/19,12156.5127
11/7/19,11358.66211
12/7/19,11815.98633
13/7/19,11392.37891
14/7/19,10256.05859
15/7/19,10895.08984
16/7/19,9477.641602
17/7/19,9693.802734
18/7/19,10666.48242
19/7/19,10530.73242
20/7/19,10767.13965
21/7/19,10599.10547
22/7/19,10343.10645
23/7/19,9900.767578
24/7/19,9811.925781
25/7/19,9911.841797
26/7/19,9870.303711
27/7/19,9477.677734
28/7/19,9552.860352
29/7/19,9519.145508
30/7/19,9607.423828
31/7/19,10085.62793
