Date,ADA
16/10/18,0.075814001
17/10/18,0.077408001
18/10/18,0.075130999
19/10/18,0.075836003
20/10/18,0.076342002
21/10/18,0.075873002
22/10/18,0.075776003
23/10/18,0.074743003
24/10/18,0.074321002
25/10/18,0.073858999
26/10/18,0.073712997
27/10/18,0.072885998
28/10/18,0.073165998
29/10/18,0.069627002
30/10/18,0.069646999
31/10/18,0.069705002
1/11/18,0.070867002
2/11/18,0.072584003
3/11/18,0.071479
4/11/18,0.076228999
5/11/18,0.076148003
6/11/18,0.080952004
7/11/18,0.078543998
8/11/18,0.076493002
9/11/18,0.074225999
10/11/18,0.075221002
11/11/18,0.076481
12/11/18,0.076001003
13/11/18,0.073602997
14/11/18,0.064824
15/11/18,0.063542999
16/11/18,0.061151002
17/11/18,0.060674999
18/11/18,0.061916001
19/11/18,0.052581999
20/11/18,0.044776998
21/11/18,0.04778
22/11/18,0.044255
23/11/18,0.043412
24/11/18,0.038458001
25/11/18,0.037725002
26/11/18,0.035806
27/11/18,0.036460999
28/11/18,0.042020999
29/11/18,0.041866001
30/11/18,0.038915999
1/12/18,0.041467998
2/12/18,0.041671999
3/12/18,0.038671002
4/12/18,0.037698999
5/12/18,0.034251001
6/12/18,0.030797999
7/12/18,0.029864
8/12/18,0.030678
9/12/18,0.031693
10/12/18,0.030203
11/12/18,0.029550999
12/12/18,0.030609
13/12/18,0.02919
14/12/18,0.028357999
15/12/18,0.028274
16/12/18,0.029103
17/12/18,0.032823998
18/12/18,0.034735002
19/12/18,0.034545001
20/12/18,0.039400999
21/12/18,0.040796001
22/12/18,0.042009
23/12/18,0.044229999
24/12/18,0.045715999
25/12/18,0.041510999
26/12/18,0.041198
27/12/18,0.036943998
28/12/18,0.041862
29/12/18,0.041508
30/12/18,0.043280002
31/12/18,0.041063
1/1/19,0.042546999
2/1/19,0.045258
3/1/19,0.042682
4/1/19,0.043811999
5/1/19,0.044700999
6/1/19,0.049261
7/1/19,0.047995999
8/1/19,0.048525002
9/1/19,0.052168999
10/1/19,0.044528998
11/1/19,0.044147
12/1/19,0.043703999
13/1/19,0.040240999
14/1/19,0.044059001
15/1/19,0.04281
16/1/19,0.044776998
17/1/19,0.045318
18/1/19,0.044316001
19/1/19,0.04575
20/1/19,0.043476999
21/1/19,0.042936999
22/1/19,0.043577999
