Date,DOGE
11/5/19,0.002754
12/5/19,0.002665
13/5/19,0.002756
14/5/19,0.003068
15/5/19,0.003308
16/5/19,0.003168
17/5/19,0.002962
18/5/19,0.003005
19/5/19,0.003178
20/5/19,0.003041
21/5/19,0.003086
22/5/19,0.002939
23/5/19,0.002961
24/5/19,0.002995
25/5/19,0.002991
26/5/19,0.003092
27/5/19,0.003141
28/5/19,0.003148
29/5/19,0.003127
30/5/19,0.003258
31/5/19,0.003441
1/6/19,0.003419
2/6/19,0.003398
3/6/19,0.003198
4/6/19,0.003042
5/6/19,0.00307
6/6/19,0.003087
7/6/19,0.00311
8/6/19,0.003084
9/6/19,0.003012
10/6/19,0.003091
11/6/19,0.003058
12/6/19,0.003067
13/6/19,0.003074
14/6/19,0.003124
15/6/19,0.003157
16/6/19,0.003186
17/6/19,0.00319
18/6/19,0.003125
19/6/19,0.00313
20/6/19,0.003161
21/6/19,0.003223
22/6/19,0.003279
23/6/19,0.003304
24/6/19,0.003368
25/6/19,0.003392
26/6/19,0.003379
27/6/19,0.003329
28/6/19,0.00349
29/6/19,0.003405
30/6/19,0.003258
1/7/19,0.003238
2/7/19,0.003204
3/7/19,0.003313
4/7/19,0.003229
5/7/19,0.003867
6/7/19,0.003547
7/7/19,0.003633
8/7/19,0.003559
9/7/19,0.003549
10/7/19,0.003424
11/7/19,0.003243
12/7/19,0.00334
13/7/19,0.003249
14/7/19,0.003014
15/7/19,0.003092
16/7/19,0.002825
17/7/19,0.00303
18/7/19,0.003121
19/7/19,0.003059
20/7/19,0.003118
21/7/19,0.003076
22/7/19,0.002997
23/7/19,0.00288
24/7/19,0.002915
25/7/19,0.002921
26/7/19,0.002921
27/7/19,0.002823
28/7/19,0.002859
29/7/19,0.00284
30/7/19,0.002817
31/7/19,0.002899
1/8/19,0.002957
2/8/19,0.002909
3/8/19,0.002912
4/8/19,0.002938
5/8/19,0.003087
6/8/19,0.00295
7/8/19,0.003006
8/8/19,0.002928
9/8/19,0.002904
10/8/19,0.002842
11/8/19,0.002898
12/8/19,0.00288
13/8/19,0.002825
14/8/19,0.002722
15/8/19,0.00264
16/8/19,0.002681
17/8/19,0.002646
18/8/19,0.002723
19/8/19,0.002797
20/8/19,0.002763
21/8/19,0.002675
22/8/19,0.0027
23/8/19,0.002713
24/8/19,0.002661
25/8/19,0.002662
26/8/19,0.002679
27/8/19,0.00262
28/8/19,0.002524
29/8/19,0.00245
30/8/19,0.002482
31/8/19,0.002511
1/9/19,0.002492
2/9/19,0.002596
3/9/19,0.002595
4/9/19,0.00269
5/9/19,0.002531
6/9/19,0.002509
7/9/19,0.002515
8/9/19,0.002501
9/9/19,0.002461
10/9/19,0.002437
11/9/19,0.002399
12/9/19,0.002425
13/9/19,0.002426
14/9/19,0.002441
15/9/19,0.00246
16/9/19,0.002455
17/9/19,0.002608
18/9/19,0.002719
19/9/19,0.002709
20/9/19,0.002672
21/9/19,0.002586
22/9/19,0.002592
23/9/19,0.002486
24/9/19,0.002228
25/9/19,0.002197
26/9/19,0.002155
27/9/19,0.002221
28/9/19,0.002234
29/9/19,0.002223
30/9/19,0.002387
1/10/19,0.002388
2/10/19,0.002351
3/10/19,0.002325
4/10/19,0.00236
5/10/19,0.002322
6/10/19,0.002346
7/10/19,0.00239
8/10/19,0.002346
9/10/19,0.002388
10/10/19,0.002332
11/10/19,0.002345
12/10/19,0.00234
13/10/19,0.002447
14/10/19,0.002545
15/10/19,0.00251
16/10/19,0.002607
17/10/19,0.002755
18/10/19,0.002706
19/10/19,0.002743
20/10/19,0.00273
21/10/19,0.002774
22/10/19,0.002565
23/10/19,0.002495
24/10/19,0.002538
25/10/19,0.002684
26/10/19,0.002622
27/10/19,0.002654
28/10/19,0.002646
29/10/19,0.002655
30/10/19,0.002616
31/10/19,0.002615
1/11/19,0.00263
2/11/19,0.002627
3/11/19,0.002637
4/11/19,0.002614
5/11/19,0.002624
6/11/19,0.002628
7/11/19,0.002725
8/11/19,0.002653
9/11/19,0.002713
10/11/19,0.002775
11/11/19,0.002715
12/11/19,0.002725
13/11/19,0.002698
14/11/19,0.00268
15/11/19,0.002657
16/11/19,0.002669
17/11/19,0.002648
18/11/19,0.002576
19/11/19,0.002548
20/11/19,0.002556
21/11/19,0.002426
22/11/19,0.002362
23/11/19,0.002505
24/11/19,0.002365
25/11/19,0.002286
26/11/19,0.002291
27/11/19,0.002339
28/11/19,0.002313
29/11/19,0.002456
30/11/19,0.00232
1/12/19,0.002292
2/12/19,0.002235
3/12/19,0.002217
4/12/19,0.002208
5/12/19,0.002223
6/12/19,0.002226
7/12/19,0.00223
8/12/19,0.002238
9/12/19,0.002208
10/12/19,0.002204
11/12/19,0.002185
12/12/19,0.002188
13/12/19,0.002175
14/12/19,0.00217
15/12/19,0.002154
16/12/19,0.002121
17/12/19,0.002018
18/12/19,0.002183
19/12/19,0.002123
20/12/19,0.002075
21/12/19,0.002084
22/12/19,0.002115
23/12/19,0.002073
24/12/19,0.002073
25/12/19,0.002088
26/12/19,0.002058
27/12/19,0.002053
28/12/19,0.002064
29/12/19,0.002068
30/12/19,0.002054
31/12/19,0.002028
1/1/20,0.002033
2/1/20,0.002009
3/1/20,0.002145
4/1/20,0.002241
5/1/20,0.002419
6/1/20,0.002463
7/1/20,0.002433
8/1/20,0.002293
9/1/20,0.002256
10/1/20,0.002356
11/1/20,0.002314
12/1/20,0.002381
13/1/20,0.002358
14/1/20,0.00247
15/1/20,0.002369
16/1/20,0.002345
17/1/20,0.00249
18/1/20,0.002507
19/1/20,0.002405
20/1/20,0.002374
21/1/20,0.002376
22/1/20,0.002323
23/1/20,0.002268
24/1/20,0.002276
25/1/20,0.002257
26/1/20,0.002305
27/1/20,0.002368
28/1/20,0.00245
29/1/20,0.00239
30/1/20,0.00244
31/1/20,0.002394
1/2/20,0.002422
2/2/20,0.002468
3/2/20,0.00244
4/2/20,0.002503
5/2/20,0.002582
6/2/20,0.002653
7/2/20,0.002769
8/2/20,0.003159
9/2/20,0.003232
10/2/20,0.002986
11/2/20,0.003041
12/2/20,0.003093
13/2/20,0.003026
14/2/20,0.00313
15/2/20,0.00292
16/2/20,0.002774
17/2/20,0.002712
18/2/20,0.002839
19/2/20,0.002624
20/2/20,0.002659
21/2/20,0.002648
22/2/20,0.002601
23/2/20,0.00268
24/2/20,0.00259
25/2/20,0.002476
26/2/20,0.002339
27/2/20,0.002324
28/2/20,0.002289
29/2/20,0.002235
1/3/20,0.002275
2/3/20,0.002349
3/3/20,0.002499
4/3/20,0.002398
5/3/20,0.002506
6/3/20,0.002496
7/3/20,0.002405
8/3/20,0.002187
9/3/20,0.002214
10/3/20,0.002207
11/3/20,0.002184
12/3/20,0.001537
13/3/20,0.001738
14/3/20,0.001666
15/3/20,0.001685
16/3/20,0.001587
17/3/20,0.001587
18/3/20,0.001566
19/3/20,0.001773
20/3/20,0.001773
21/3/20,0.001785
22/3/20,0.001731
23/3/20,0.001805
24/3/20,0.001851
25/3/20,0.001834
26/3/20,0.001842
27/3/20,0.001807
28/3/20,0.001778
29/3/20,0.001723
30/3/20,0.001831
31/3/20,0.001811
1/4/20,0.001867
2/4/20,0.001882
3/4/20,0.001853
4/4/20,0.00188
5/4/20,0.001865
6/4/20,0.00198
7/4/20,0.001997
8/4/20,0.002012
9/4/20,0.002021
10/4/20,0.001968
11/4/20,0.00199
12/4/20,0.00199
13/4/20,0.001959
14/4/20,0.001964
15/4/20,0.00194
16/4/20,0.002028
18/4/20,0.002061
19/4/20,0.002058
20/4/20,0.001982
21/4/20,0.001971
22/4/20,0.002011
23/4/20,0.002047
24/4/20,0.002103
25/4/20,0.002142
26/4/20,0.002409
27/4/20,0.002355
28/4/20,0.002339
29/4/20,0.002517
30/4/20,0.002443
1/5/20,0.002494
2/5/20,0.002549
3/5/20,0.00251
4/5/20,0.002481
5/5/20,0.002484
6/5/20,0.002529
7/5/20,0.002664
8/5/20,0.002625
9/5/20,0.002613
10/5/20,0.002459
11/5/20,0.002413
12/5/20,0.002463
13/5/20,0.002521
14/5/20,0.002574
15/5/20,0.002506
16/5/20,0.002513
17/5/20,0.002538
18/5/20,0.002543
19/5/20,0.002538
20/5/20,0.002508
21/5/20,0.002485
22/5/20,0.002533
23/5/20,0.002544
24/5/20,0.002458
25/5/20,0.00254
26/5/20,0.002486
27/5/20,0.00251
28/5/20,0.002524
29/5/20,0.002532
30/5/20,0.002615
31/5/20,0.002555
1/6/20,0.002647
2/6/20,0.002561
3/6/20,0.002583
4/6/20,0.002631
5/6/20,0.002596
6/6/20,0.002587
7/6/20,0.002606
8/6/20,0.002584
9/6/20,0.002569
10/6/20,0.002584
11/6/20,0.002452
12/6/20,0.00252
13/6/20,0.002533
14/6/20,0.002511
15/6/20,0.002479
16/6/20,0.002487
17/6/20,0.002485
18/6/20,0.002472
19/6/20,0.002435
20/6/20,0.002447
21/6/20,0.002447
22/6/20,0.002474
23/6/20,0.002484
24/6/20,0.00243
25/6/20,0.002417
26/6/20,0.002359
27/6/20,0.002313
28/6/20,0.002326
29/6/20,0.002313
30/6/20,0.00232
1/7/20,0.002354
2/7/20,0.002361
3/7/20,0.002316
4/7/20,0.002309
5/7/20,0.002309
6/7/20,0.002616
7/7/20,0.00309
8/7/20,0.00475
9/7/20,0.004397
10/7/20,0.003515
11/7/20,0.003811
12/7/20,0.00363
13/7/20,0.003178
14/7/20,0.003294
15/7/20,0.003085
16/7/20,0.002995
17/7/20,0.003061
18/7/20,0.003473
19/7/20,0.003382
20/7/20,0.003239
21/7/20,0.003305
22/7/20,0.003285
23/7/20,0.003295
24/7/20,0.00322
25/7/20,0.003234
26/7/20,0.003235
27/7/20,0.003153
28/7/20,0.003197
29/7/20,0.003192
30/7/20,0.003231
31/7/20,0.003225
1/8/20,0.003689
2/8/20,0.003336
3/8/20,0.003389
4/8/20,0.003535
5/8/20,0.003513
6/8/20,0.00356
7/8/20,0.003533
8/8/20,0.00351
9/8/20,0.003463
10/8/20,0.003499
11/8/20,0.003394
12/8/20,0.003484
13/8/20,0.003517
14/8/20,0.003561
15/8/20,0.003539
16/8/20,0.003524
17/8/20,0.003591
18/8/20,0.003514
19/8/20,0.003424
20/8/20,0.003459
21/8/20,0.003393
22/8/20,0.003442
23/8/20,0.003414
24/8/20,0.003418
25/8/20,0.003305
26/8/20,0.003303
27/8/20,0.003203
28/8/20,0.003268
29/8/20,0.003282
30/8/20,0.0033
31/8/20,0.003221
1/9/20,0.003256
2/9/20,0.003122
3/9/20,0.002802
4/9/20,0.002899
5/9/20,0.002758
6/9/20,0.002787
7/9/20,0.002811
8/9/20,0.002756
9/9/20,0.002779
10/9/20,0.002805
11/9/20,0.002806
12/9/20,0.002819
13/9/20,0.002776
14/9/20,0.002803
15/9/20,0.002832
16/9/20,0.002826
17/9/20,0.002814
18/9/20,0.002804
19/9/20,0.002794
20/9/20,0.002778
21/9/20,0.00263
22/9/20,0.002656
23/9/20,0.002564
24/9/20,0.002644
25/9/20,0.002706
26/9/20,0.002708
27/9/20,0.002701
28/9/20,0.002658
29/9/20,0.002681
30/9/20,0.002642
1/10/20,0.002615
2/10/20,0.002584
3/10/20,0.002605
4/10/20,0.002646
5/10/20,0.002627
6/10/20,0.00261
7/10/20,0.0026
8/10/20,0.002603
10/10/20,0.002655
11/10/20,0.002674
14/10/20,0.002637
15/10/20,0.002593
16/10/20,0.002612
17/10/20,0.002581
18/10/20,0.002586
19/10/20,0.00259
20/10/20,0.002601
21/10/20,0.00263
22/10/20,0.002655
23/10/20,0.002647
24/10/20,0.002646
25/10/20,0.002653
26/10/20,0.002679
27/10/20,0.002677
