Date,ETH
2/4/19,163.9617462
3/4/19,161.4588013
4/4/19,158.052536
5/4/19,165.5148468
6/4/19,165.9472046
7/4/19,174.5316467
8/4/19,180.2588196
9/4/19,176.1145782
10/4/19,177.3374786
11/4/19,165.4970245
12/4/19,164.7363281
13/4/19,164.5133514
14/4/19,167.8385162
15/4/19,161.574173
16/4/19,167.6234436
17/4/19,166.9507599
18/4/19,173.8140259
19/4/19,173.7084351
20/4/19,173.7512665
21/4/19,170.046524
22/4/19,171.8746643
23/4/19,171.4477997
24/4/19,165.8260956
25/4/19,154.4593964
26/4/19,156.3470917
27/4/19,158.4349365
28/4/19,157.2950745
29/4/19,155.2019958
30/4/19,162.1660309
1/5/19,160.8183441
2/5/19,162.1227875
3/5/19,167.9524078
4/5/19,164.0265808
5/5/19,163.4506989
6/5/19,172.6532135
7/5/19,169.7986603
8/5/19,170.9481659
9/5/19,170.2893066
10/5/19,173.142746
11/5/19,194.3043365
12/5/19,187.3253174
13/5/19,196.846283
14/5/19,217.1485748
15/5/19,247.1530609
16/5/19,264.0100098
17/5/19,243.7645874
18/5/19,234.5952301
19/5/19,261.2922058
20/5/19,251.8644104
21/5/19,255.2158813
22/5/19,244.6989136
23/5/19,245.9656677
24/5/19,249.4849854
25/5/19,251.7598724
26/5/19,267.0696411
27/5/19,272.8626404
28/5/19,271.7687073
29/5/19,269.4556885
30/5/19,255.8589478
31/5/19,268.1135559
1/6/19,265.3912659
2/6/19,270.2255249
3/6/19,252.6079254
4/6/19,241.3387909
5/6/19,247.0510101
6/6/19,249.4743347
7/6/19,250.9303589
8/6/19,245.7380981
9/6/19,233.0867004
10/6/19,247.5201263
11/6/19,245.7818298
12/6/19,260.9032898
13/6/19,256.1687927
14/6/19,264.0874634
15/6/19,269.0193176
16/6/19,269.2232056
17/6/19,274.3511047
18/6/19,265.0518494
19/6/19,269.4317932
20/6/19,271.6950073
21/6/19,294.9102783
22/6/19,309.3803101
23/6/19,307.8277893
24/6/19,310.4246826
25/6/19,318.1263123
26/6/19,336.7531738
27/6/19,294.2676392
28/6/19,311.2261047
29/6/19,320.0588989
30/6/19,290.6959839
1/7/19,293.6411133
2/7/19,291.5964355
3/7/19,303.0999756
4/7/19,284.5232239
5/7/19,287.9975281
6/7/19,287.5471191
7/7/19,305.7005615
8/7/19,313.2514038
9/7/19,308.881012
10/7/19,290.0023193
11/7/19,268.7040405
12/7/19,276.2767029
13/7/19,269.4588013
14/7/19,227.578064
15/7/19,229.776001
16/7/19,199.1886749
17/7/19,211.4849701
18/7/19,226.5661621
19/7/19,221.3334198
20/7/19,229.1192169
21/7/19,225.6307678
22/7/19,217.5600128
23/7/19,212.7285156
24/7/19,217.0463715
25/7/19,219.6179962
26/7/19,219.6296082
27/7/19,207.4083099
28/7/19,211.186554
29/7/19,211.2680511
30/7/19,210.5225983
31/7/19,218.6541443
1/8/19,217.8084412
2/8/19,217.8715668
3/8/19,222.4903412
4/8/19,222.6697235
5/8/19,234.2150269
6/8/19,226.0206451
7/8/19,226.3910065
8/8/19,220.941864
9/8/19,210.4889069
10/8/19,206.7335358
11/8/19,216.092865
12/8/19,211.2880707
13/8/19,208.7090454
14/8/19,186.6077423
15/8/19,188.5020599
16/8/19,185.4400787
17/8/19,185.6876831
18/8/19,194.4935303
19/8/19,203.0919342
20/8/19,196.5654144
21/8/19,186.8916321
22/8/19,191.3329163
23/8/19,194.7062073
24/8/19,191.289566
25/8/19,186.842392
26/8/19,188.9293823
27/8/19,187.5166626
28/8/19,173.8899689
29/8/19,169.5167389
30/8/19,168.8348694
31/8/19,172.4697876
1/9/19,171.629425
2/9/19,178.3473511
3/9/19,179.4993286
4/9/19,175.9928894
5/9/19,174.2171326
6/9/19,169.9561768
7/9/19,178.262619
8/9/19,181.3555298
9/9/19,181.1494598
10/9/19,179.7871704
11/9/19,178.7254944
12/9/19,181.016098
13/9/19,181.109726
14/9/19,188.1055145
15/9/19,189.7891235
16/9/19,197.1131744
17/9/19,208.6087494
18/9/19,211.3930359
19/9/19,221.2808533
20/9/19,218.0500488
21/9/19,215.5162048
22/9/19,211.5453796
23/9/19,201.9213104
24/9/19,168.110733
25/9/19,170.8927002
26/9/19,166.7271271
27/9/19,174.7109985
28/9/19,174.5728912
29/9/19,170.503479
30/9/19,179.8722076
1/10/19,177.3404236
2/10/19,180.7105103
3/10/19,175.1993408
4/10/19,176.9850006
5/10/19,176.3515167
6/10/19,173.0591431
7/10/19,181.1863403
8/10/19,182.0215607
9/10/19,193.2932587
10/10/19,191.659668
